hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,883 - WARNING - script started
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,883 - INFO - Waiting 0 seconds before starting
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,888 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,888 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,889 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,889 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,889 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,889 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:56:58,889 - INFO - Sleeping for 9.994006633758545 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:07,891 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:07,892 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:07,893 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:07,894 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:07,894 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:07,895 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:07,895 - INFO - Sleeping for 9.995490312576294 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:16,897 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:16,898 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:16,899 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:16,899 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:16,900 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:16,900 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:16,901 - INFO - Sleeping for 9.995757341384888 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:25,903 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:25,904 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:25,904 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:25,905 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:25,906 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:25,906 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:25,906 - INFO - Sleeping for 9.995935678482056 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:34,908 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:34,909 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:34,910 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:34,911 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:34,912 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:34,912 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:34,912 - INFO - Sleeping for 9.995291709899902 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:43,914 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:43,915 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:43,916 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:43,917 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:43,918 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:43,918 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:43,918 - INFO - Sleeping for 9.995361804962158 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:52,920 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:52,921 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:52,922 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:52,923 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:52,924 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:52,924 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:57:52,924 - INFO - Sleeping for 9.995528221130371 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:01,926 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:01,927 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:01,928 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:01,929 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:01,930 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:01,930 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:01,930 - INFO - Sleeping for 9.995477437973022 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:10,932 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:10,933 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:10,934 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:10,935 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:10,935 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:10,936 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:10,936 - INFO - Sleeping for 9.995612382888794 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:19,937 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:19,938 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:19,938 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:19,938 - INFO - hostname-check-4 was resolved to ['172.31.0.2', '172.31.0.2', '172.31.0.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:19,938 - INFO - hostname-check-6 was resolved to ['192.168.16.7', '192.168.16.7', '192.168.16.7']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:19,938 - WARNING - Checked 5 hostnames, 5 were successful, 0 failed
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:19,938 - INFO - Sleeping for 9.998592376708984 seconds
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,941 - INFO - hostname-check-1 was resolved to ['192.168.16.2', '192.168.16.2', '192.168.16.2']
hostname_check-hostname-check-6-1  | 2023-07-11 15:58:28,942 - INFO - hostname-check-2 was resolved to ['192.168.16.4', '192.168.16.4', '192.168.16.4']
